fish,stage,day,plotday,trial,EST,distance,yds,circular_mean_degrees
fish12,ReRotation,4,54,6,3,6.782954077,-1.492052066,-8.972789137
fish12,ReRotation,5,55,6,2,7.24486721,9.43813277,7.13324763
fish12,ReRotation,6,56,6,3,5.668398891,0.589587215,-5.518100371
fish12,ReRotation,7,57,6,2,5.109861811,-1.643055524,-2.869688875
fish12,ReRotation,8,58,6,3,5.048895965,2.402225358,-5.332672739
fish12,ReRotation,9,59,6,5,5.077399889,-1.507749306,-1.689847104
fish12,ReRotation,10,60,6,0,12.34859237,-1.491502689,-40.62078925
fish12,ReRotation,11,61,6,5,4.131179522,-1.771759126,-1.195754224
fish12,ReRotation,12,62,6,4,4.499420608,-1.882800746,-9.818626026
fish12,ReRotation,13,63,6,5,6.054310837,-1.557426455,-4.206273349
fish12,ReRotation,14,64,6,3,5.990974012,-8.331842838,-28.83237635
fish12,ReRotation,15,65,6,6,4.056648332,-3.711923709,-4.447436182
fish12,ReWashout,1,66,6,0,5.807036121,-14.59943232,-30.87366268
fish12,ReWashout,2,67,6,5,4.384116104,-7.152790202,-5.716067624
fish12,ReWashout,3,68,6,3,7.916532538,-6.33583745,-12.11154006
fish12,ReWashout,4,69,6,5,4.326114153,-4.195536545,-4.802447147
fish12,ReWashout,5,70,6,4,4.169162061,-5.815770245,-7.56671405
fish12,ReWashout,6,71,6,5,5.160572098,-4.784901502,-5.066128783
fish12,ReWashout,7,72,6,6,3.587173138,-2.397862449,-2.15683492
fish12,ReWashout,8,73,6,5,3.16480147,-3.949106021,-5.171733069
fish12,ReWashout,9,74,6,5,3.683358285,-4.250453683,-4.858673974
fish12,ReWashout,10,75,6,5,4.722844348,-5.513853489,-6.285241933
fish14,Baseline,2,2,6,5,3.64799267,-0.326783378,-1.83550714
fish14,Baseline,3,3,6,0,13.77813192,-61.3204167,-88.60161641
fish14,Baseline,4,4,6,1,13.47706506,-12.23633001,-11.2157781
fish14,Baseline,5,5,6,1,8.895180134,-9.223200444,-9.226185192
fish14,Baseline,6,6,6,1,4.916459122,-8.938404995,-11.08413501
fish14,Baseline,7,7,6,1,4.083117114,-9.692207391,-8.67230806
fish14,Baseline,8,8,6,3,3.045464972,-8.199467899,-15.27927242
fish14,Baseline,9,9,6,2,4.132354226,-14.26806684,-14.25020607
fish14,Baseline,10,10,6,2,8.729235416,5.412953728,20.51450276
fish14,Baseline,11,11,6,1,5.328380632,-14.26601556,-40.68483923
fish14,Baseline,12,12,6,3,6.826583474,-13.01542481,-14.67579128
