fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
14,Baseline,10.0,14.996914828833333,16.686266005,5.433357160763095,3.798833333333333,3.817,2.9591666666666665,2.972,4.6195,4.642,4.786666666666666,4.869,3.8615,3.936,5.7686666666666655,5.85,7.0675,7.117,0.24150000000000002,0.248,15.856833333333334,16.061500000000002,10,4.816299218112854,7.3327077911120275,4.758722270660244,7.263513563531678,16.17509844515612,17.764655413286405
14,Baseline,11.0,7.057613368333333,8.014312221499999,3.1838241633554145,3.6923333333333335,3.708,2.8811666666666667,2.895,4.485333333333333,4.507,4.3045,4.375,3.422833333333333,3.489,5.295333333333333,5.362,6.529833333333333,6.5995,0.3423333333333333,0.34199999999999997,14.4585,14.587,11,4.472111571610521,6.918300866295693,4.419537587658778,6.859303943554552,7.877384356107232,8.757673061262096
14,Baseline,12.0,7.3629999575000005,7.34195846,3.228484182024647,3.6006666666666667,3.614,2.8081666666666667,2.812,4.368666666666667,4.377,3.8915,3.952,3.019833333333333,3.092,4.889666666666666,4.962,6.081166666666667,6.1195,0.33949999999999997,0.3385,13.182666666666668,13.272,12,4.157887492370068,6.564849549408997,4.110101102001264,6.513115378072205,8.176634433104992,8.157360621704512
14,Baseline,13.0,6.2365811725,5.7078341355,3.5449270910607242,3.5224999999999995,3.534,2.7763333333333335,2.789,4.310833333333334,4.327,3.5370000000000004,3.589,2.6014999999999997,2.659,4.4735,4.528,5.719,5.7695,0.4558333333333333,0.486,12.1995,12.3575,13,3.87416963303538,6.255905045189112,3.8292484739697037,6.209432279529026,7.312186671351949,6.847537051576087
14,Baseline,14.0,4.080198743333333,3.9277422925,1.4046450934597448,3.455,3.465,2.702833333333333,2.713,4.223,4.23,3.2325,3.277,2.2776666666666667,2.314,4.1655,4.201,5.383666666666667,5.435499999999999,0.502,0.516,11.186833333333333,11.331,14,3.6064985269777403,5.977696691269665,3.5767987477208467,5.950448957299567,4.372263139241219,4.229113381948371
14,Baseline,15.0,3.8823348571666667,3.226502593,1.9304174066466002,3.3964999999999996,3.405,2.6368333333333336,2.652,4.176166666666666,4.188,2.9716666666666662,3.01,2.055,2.096,3.948,3.988,5.130166666666667,5.144,0.5288333333333334,0.5945,10.553666666666667,10.623999999999999,15,3.4291675774885633,5.814618185149366,3.392957619987054,5.780888762792294,4.41615916143071,3.832391862228053
14,Baseline,16.0,3.674400644166667,2.5385765255,2.9470724761415332,3.3465000000000003,3.354,2.5591666666666666,2.561,4.12,4.117,2.7471666666666668,2.78,1.8148333333333335,1.85,3.7153333333333336,3.748,4.9013333333333335,4.911,0.5111666666666667,0.46699999999999997,9.9795,9.9155,16,3.2130772087114843,5.612705012076788,3.1919875509403,5.595718327941813,4.775902749822883,3.8508078751690253
14,Baseline,17.0,2.6290999978,2.45783375,0.48143099124868743,3.309,3.309,2.55,2.55,4.135,4.135,2.583,2.583,1.639,1.639,3.5520000000000005,3.552,4.7490000000000006,4.753,0.567,0.562,9.6346,9.629,17,3.0884690835039774,5.5115634085646334,3.0884690835039774,5.511563408564634,2.686076875297412,2.51852289621995
14,Rotation,1.0,5.341436677,5.217408677,3.1421159465740933,3.119,3.119,1.833,1.833,4.413,4.413,3.661,3.661,2.622,2.622,4.858,4.858,5.5335,5.505,0.2265,0.2455,12.157833333333334,12.0855,18,3.0956362539315045,6.528631010080523,3.0956362539315045,6.528631010080523,6.316772812998441,6.207817427849359
14,Rotation,2.0,4.657554784999999,3.90418485,2.7948620147762453,3.1139999999999994,3.114,2.045,2.045,4.061,4.061,3.462,3.462,2.623,2.623,4.328,4.328,5.379166666666666,5.3665,0.23900000000000002,0.23149999999999998,11.842666666666666,11.8085,19,3.259539133459379,5.919616791592559,3.259539133459379,5.919616791592559,5.53644950586178,4.884125196522744
14,Rotation,3.0,4.702579953666667,3.182558759,3.105523492590403,3.124,3.124,2.267,2.267,3.994,3.994,3.339,3.339,2.558,2.558,4.06,4.06,5.238,5.2285,0.307,0.315,11.258666666666665,11.221499999999999,20,3.392675835903032,5.701147158545713,3.392675835903032,5.701147158545713,5.740101301119659,4.463958879634948
14,Rotation,4.0,4.5846891088333335,3.918864685,2.6858198069857466,3.1360000000000006,3.136,2.352,2.352,3.8729999999999998,3.873,3.243,3.243,2.527,2.527,3.92,3.92,5.198666666666667,5.2044999999999995,0.42816666666666664,0.439,11.214833333333333,11.2655,21,3.4410326049435773,5.518037986264624,3.4410326049435773,5.518037986264625,5.416121140674593,4.836611795809035
14,Rotation,5.0,3.0614146676666665,2.883106927,0.742970833081608,3.1489999999999996,3.149,2.457,2.457,3.829,3.829,3.163,3.163,2.517,2.517,3.82,3.82,5.103,5.111,0.32416666666666666,0.3255,10.843666666666666,10.86,22,3.5190616491939406,5.421517315095158,3.5190616491939406,5.421517315095158,3.1754519474542455,3.003453703485735
