fish,stage,day,plotday,trial,EST,yds,distance
fish10,Rotation,4,29,6,0.0,-131.9000591,13.83713303
fish10,Rotation,5,30,1,1.0,2.55578147,2.226783281
fish10,Rotation,5,30,2,0.531673584,8.814399902,6.210289652
fish10,Rotation,5,30,3,0.0,38.52394335,15.70050688
fish10,Rotation,5,30,4,0.644092712,-6.738322299,3.869647279
fish10,Rotation,5,30,5,0.506525192,8.386667111,3.109294331
fish10,Rotation,5,30,6,0.325060043,-10.5038753,6.840128501
fish10,Rotation,6,31,1,0.483474884,9.003493573,2.262221663
fish10,Rotation,6,31,2,0.313749466,9.54051984,3.790940407
fish10,Rotation,6,31,3,0.0,23.48516511,12.24253645
fish10,Rotation,6,31,4,0.77095047,5.031138748,10.6833706
fish10,Rotation,6,31,5,0.0,22.62088726,21.90915882
fish10,Rotation,6,31,6,1.0,2.241154547,5.186751767
fish10,Rotation,7,32,1,0.0,-112.2269956,13.86975405
fish10,Rotation,7,32,2,0.89648262,4.295703671,3.395807476
fish10,Rotation,7,32,3,1.0,1.17476709,6.023786962
fish10,Rotation,7,32,4,0.452900085,-9.176160771,11.36918094
fish10,Rotation,7,32,5,0.862083588,-4.832301321,3.224519613
fish10,Rotation,7,32,6,0.0,31.35160482,10.74249274
fish10,Rotation,8,33,1,0.0,12.18964582,6.226346683
fish10,Rotation,8,33,2,0.582161102,-6.9758916,10.12299567
fish10,Rotation,8,33,3,1.0,-0.305449534,3.504178707
fish10,Rotation,8,33,4,1.0,2.058326608,2.781148554
fish10,Rotation,8,33,5,0.746669922,5.114541244,4.610441898
fish10,Rotation,8,33,6,0.0,24.41222354,8.232142675
fish10,Rotation,9,34,1,0.493431244,-7.903134914,3.586613383
fish10,Rotation,9,34,2,0.0,-94.79583431,12.48645288
fish10,Rotation,9,34,3,0.928383026,-4.041330529,10.72376874
fish10,Rotation,9,34,4,0.26770607,-9.982083567,5.085744485
fish10,Rotation,9,34,5,0.810165558,-4.889584425,2.213594355
