y,fish,stage,day,plotday
4,7,Baseline,12,12
1,7,Rotation,1,13
1,7,Rotation,2,14
4,7,Rotation,3,15
2,7,Rotation,4,16
3,7,Rotation,5,17
3,7,Rotation,6,18
1,7,Rotation,7,19
2,7,Rotation,8,20
2,7,Rotation,9,21
4,7,Rotation,10,22
3,7,Rotation,11,23
4,7,Rotation,12,24
2,7,Rotation,13,25
4,7,Rotation,14,26
5,7,Rotation,15,27
3,7,Washout,1,28
4,7,Washout,2,29
4,7,Washout,3,30
4,7,Washout,4,31
3,7,Washout,5,32
2,7,Washout,6,33
3,7,Washout,7,34
4,7,Washout,8,35
5,7,Washout,9,36
6,7,Washout,10,37
5,7,ReRotation,1,38
4,7,ReRotation,2,39
4,7,ReRotation,3,40
5,7,ReRotation,4,41
5,7,ReRotation,5,42
3,7,ReRotation,6,43
1,9,Baseline,1,1
0,9,Baseline,2,2
0,9,Baseline,3,3
1,9,Baseline,4,4
2,9,Baseline,5,5
4,9,Baseline,6,6
4,9,Baseline,7,7
4,9,Baseline,8,8
2,9,Baseline,9,9
3,9,Baseline,10,10
2,9,Baseline,11,11
3,9,Baseline,12,12
2,9,Baseline,13,13
3,9,Baseline,14,14
4,9,Baseline,15,15
5,9,Baseline,16,16
5,9,Baseline,17,17
4,9,Baseline,18,18
5,9,Baseline,19,19
5,9,Baseline,20,20
5,9,Baseline,21,21
5,9,Baseline,22,22
3,9,Rotation,1,23
2,9,Rotation,2,24
0,9,Rotation,3,25
3,9,Rotation,4,26
3,9,Rotation,5,27
1,9,Rotation,6,28
2,9,Rotation,7,29
1,9,Rotation,8,30
3,9,Rotation,9,31
4,9,Rotation,10,32
2,9,Rotation,11,33
1,9,Rotation,12,34
2,9,Rotation,13,35
2,9,Rotation,14,36
2,9,Rotation,15,37
2,9,Washout,1,38
3,9,Washout,2,39
3,9,Washout,3,40
3,9,Washout,4,41
5,9,Washout,5,42
3,9,Washout,6,43
2,9,Washout,7,44
3,9,Washout,8,45
4,9,Washout,9,46
3,9,Washout,10,47
2,9,ReRotation,1,48
2,9,ReRotation,2,49
1,9,ReRotation,3,50
4,9,ReRotation,4,51
5,9,ReRotation,5,52
4,9,ReRotation,6,53
5,9,ReRotation,7,54
3,9,ReRotation,8,55
4,9,ReRotation,9,56
2,9,ReRotation,10,57
3,9,ReRotation,11,58
5,9,ReRotation,12,59
4,9,ReRotation,13,60
5,9,ReRotation,14,61
5,9,ReRotation,15,62
4,9,ReWashout,1,63
4,9,ReWashout,2,64
5,9,ReWashout,3,65
4,9,ReWashout,4,66
4,9,ReWashout,5,67
4,9,ReWashout,6,68
4,9,ReWashout,7,69
4,9,ReWashout,8,70
4,9,ReWashout,9,71
4,9,ReWashout,10,72
