,fish,stage,day,plotday,y,PlotDay
138,9.0,Rotation,13.0,37.0,-4.4312079015,12
139,9.0,Rotation,14.0,38.0,6.2774072005,13
140,9.0,Rotation,15.0,39.0,-68.630403962,14
141,9.0,Washout,1.0,40.0,-11.4229618465,15
142,9.0,Washout,2.0,41.0,-13.664847822,16
143,9.0,Washout,3.0,42.0,0.040303386,17
144,9.0,Washout,4.0,43.0,-0.063259447,18
145,9.0,Washout,5.0,44.0,-2.7863434795,19
146,9.0,Washout,6.0,45.0,-3.0366648485,20
147,9.0,Washout,7.0,46.0,2.0445733375000006,21
148,9.0,Washout,8.0,47.0,-6.592745279000001,22
149,9.0,Washout,9.0,48.0,-3.6282000070000002,23
150,9.0,Washout,10.0,49.0,-6.1975233434999994,24
151,9.0,ReRotation,1.0,50.0,8.2132141035,25
152,9.0,ReRotation,2.0,51.0,0.34470540000000005,26
153,9.0,ReRotation,3.0,52.0,10.056445064,27
154,9.0,ReRotation,4.0,53.0,-0.2687395995,28
155,9.0,ReRotation,5.0,54.0,4.503739942,29
156,9.0,ReRotation,6.0,55.0,0.19179522749999997,30
157,9.0,ReRotation,7.0,56.0,-3.2602886565,31
158,9.0,ReRotation,8.0,57.0,-0.689766833,32
159,9.0,ReRotation,9.0,58.0,-0.6307599295,33
160,9.0,ReRotation,10.0,59.0,5.233641434,34
161,9.0,ReRotation,11.0,60.0,-6.4389935795,35
162,9.0,ReRotation,12.0,61.0,-5.269182484,36
163,9.0,ReRotation,13.0,62.0,-1.8575916685,37
164,9.0,ReRotation,14.0,63.0,-2.7547091685,38
165,9.0,ReRotation,15.0,64.0,1.6422601815,39
166,9.0,ReWashout,1.0,65.0,-6.06388075,40
167,9.0,ReWashout,2.0,66.0,-7.9151104915,41
168,9.0,ReWashout,3.0,67.0,-4.7824262435,42
169,9.0,ReWashout,4.0,68.0,-4.653421123,43
170,9.0,ReWashout,5.0,69.0,-5.9987986095,44
171,9.0,ReWashout,6.0,70.0,-7.5147258825,45
172,9.0,ReWashout,7.0,71.0,-6.6638477525,46
173,9.0,ReWashout,8.0,72.0,-5.6822982369999995,47
174,9.0,ReWashout,9.0,73.0,-6.5241969335,48
175,9.0,ReWashout,10.0,74.0,-7.9425154995,49
176,10.0,Baseline,1.0,1.0,-3.509970556,-25
177,10.0,Baseline,2.0,2.0,-1.1294260729999999,-24
178,10.0,Baseline,3.0,3.0,69.30654412999999,-23
179,10.0,Baseline,4.0,4.0,-5.5599622024999995,-22
180,10.0,Baseline,5.0,5.0,-3.1145864475000002,-21
181,10.0,Baseline,6.0,6.0,-0.3477703569999999,-20
182,10.0,Baseline,7.0,7.0,15.426579499999999,-19
183,10.0,Baseline,8.0,8.0,-2.6493393495,-18
184,10.0,Baseline,9.0,9.0,-84.3735249,-17
185,10.0,Baseline,10.0,10.0,-71.017482215,-16
186,10.0,Baseline,11.0,11.0,-66.050734765,-15
187,10.0,Baseline,12.0,12.0,-3.922609093,-14
188,10.0,Baseline,13.0,13.0,-2.3517795395,-13
189,10.0,Baseline,14.0,14.0,-16.072268703,-12
190,10.0,Baseline,15.0,15.0,-8.2148656675,-11
191,10.0,Baseline,16.0,16.0,-0.8181029885000001,-10
192,10.0,Baseline,17.0,17.0,2.1400736705,-9
193,10.0,Baseline,18.0,18.0,-3.5278385345,-8
194,10.0,Baseline,19.0,19.0,-1.0419694115,-7
195,10.0,Baseline,20.0,20.0,-10.905271843,-6
196,10.0,Baseline,21.0,21.0,-3.226023352,-5
197,10.0,Baseline,22.0,22.0,-2.555729792,-4
198,10.0,Baseline,23.0,23.0,-1.9718175305,-3
199,10.0,Baseline,24.0,24.0,-1.4473543,-2
200,10.0,Baseline,25.0,25.0,0.152574695,-1
201,10.0,Rotation,1.0,26.0,7.362668083,0
202,10.0,Rotation,2.0,27.0,17.659612175,1
203,10.0,Rotation,3.0,28.0,10.6495840475,2
204,10.0,Rotation,4.0,29.0,-12.1859168325,3
205,10.0,Rotation,5.0,30.0,5.4712242904999995,4
206,10.0,Rotation,6.0,31.0,9.272006706500001,5
207,10.0,Rotation,7.0,32.0,-1.8287671155,6
208,10.0,Rotation,8.0,33.0,3.5864339259999998,7
209,10.0,Rotation,9.0,34.0,-8.9426092405,8
210,10.0,Rotation,10.0,35.0,-6.667417847,9
211,10.0,Rotation,11.0,36.0,2.923320228,10
212,10.0,Rotation,12.0,37.0,5.9573395315,11
213,10.0,Rotation,13.0,38.0,-4.2059678265,12
214,10.0,Rotation,14.0,39.0,-4.640015169,13
215,10.0,Rotation,15.0,40.0,5.4665939285,14
216,10.0,Washout,1.0,41.0,-5.3791128475,15
217,10.0,Washout,2.0,42.0,-7.3091921265,16
218,10.0,Washout,3.0,43.0,-2.9084310215,17
219,10.0,Washout,4.0,44.0,-2.0096649785,18
220,10.0,Washout,5.0,45.0,-2.924139342,19
221,10.0,Washout,6.0,46.0,-3.508809722,20
222,10.0,Washout,7.0,47.0,-3.692463876,21
223,10.0,Washout,8.0,48.0,2.0921243435,22
224,10.0,Washout,9.0,49.0,-0.2440034375,23
225,10.0,Washout,10.0,50.0,-1.780474032,24
226,10.0,ReRotation,1.0,51.0,18.94062779,25
227,10.0,ReRotation,2.0,52.0,25.176779915,26
228,10.0,ReRotation,3.0,53.0,15.909531124999999,27
