y,fish,stage,day,plotday
-2.210653395,10,Rotation,14.0,39
-7.997607837,10,Rotation,14.0,39
2.173809495,10,Rotation,15.0,40
4.975299771,10,Rotation,15.0,40
-4.902947012,10,Rotation,15.0,40
5.957888086,10,Rotation,15.0,40
20.29012026,10,Rotation,15.0,40
5.996097985,10,Rotation,15.0,40
-7.249333735,10,Washout,1.0,41
-8.904761506,10,Washout,1.0,41
-3.50889196,10,Washout,1.0,41
97.29723024,10,Washout,1.0,41
-20.49935376,10,Washout,1.0,41
128.5752212,10,Washout,1.0,41
-11.23881427,10,Washout,2.0,42
-28.05648851,10,Washout,2.0,42
-3.379569983,10,Washout,2.0,42
-0.009707573,10,Washout,2.0,42
-0.744717797,10,Washout,2.0,42
-19.9165267,10,Washout,2.0,42
-1.465209533,10,Washout,3.0,43
-3.518322755,10,Washout,3.0,43
-3.621172722,10,Washout,3.0,43
-1.599450564,10,Washout,3.0,43
-22.61666363,10,Washout,3.0,43
-2.298539288,10,Washout,3.0,43
0.019900332,10,Washout,4.0,44
-19.52266737,10,Washout,4.0,44
-1.023066174,10,Washout,4.0,44
0.147065031,10,Washout,4.0,44
-18.9709733,10,Washout,4.0,44
-2.996263783,10,Washout,4.0,44
-2.32225884,10,Washout,5.0,45
-0.567023837,10,Washout,5.0,45
-3.526019844,10,Washout,5.0,45
10.14906102,10,Washout,5.0,45
-5.745219191,10,Washout,5.0,45
-18.67548681,10,Washout,5.0,45
3.062963216,10,Washout,6.0,46
-3.877967862,10,Washout,6.0,46
-3.75333206,10,Washout,6.0,46
-2.656830962,10,Washout,6.0,46
-3.264287384,10,Washout,6.0,46
-5.981507573,10,Washout,6.0,46
-15.13589012,10,Washout,7.0,47
-3.910776831,10,Washout,7.0,47
-11.48457961,10,Washout,7.0,47
-1.280488265,10,Washout,7.0,47
0.828699277,10,Washout,7.0,47
-3.474150921,10,Washout,7.0,47
15.65028255,10,Washout,8.0,48
0.565816161,10,Washout,8.0,48
-14.58193807,10,Washout,8.0,48
3.618432526,10,Washout,8.0,48
31.29689561,10,Washout,8.0,48
-1.997455454,10,Washout,8.0,48
4.657307454,10,Washout,9.0,49
-24.09475051,10,Washout,9.0,49
-2.874817244,10,Washout,9.0,49
7.138985652,10,Washout,9.0,49
0.366690408,10,Washout,9.0,49
-0.854697283,10,Washout,9.0,49
-5.938423149,10,Washout,10.0,50
7.1166008,10,Washout,10.0,50
5.701077259,10,Washout,10.0,50
-1.628924194,10,Washout,10.0,50
-3.812146325,10,Washout,10.0,50
-1.93202387,10,Washout,10.0,50
26.84963645,10,ReRotation,1.0,51
3.698938134,10,ReRotation,1.0,51
9.308154453,10,ReRotation,1.0,51
39.05550545,10,ReRotation,1.0,51
30.12837216,10,ReRotation,1.0,51
11.03161913,10,ReRotation,1.0,51
11.08394507,10,ReRotation,2.0,52
35.1659724,10,ReRotation,2.0,52
26.57664399,10,ReRotation,2.0,52
52.39802173,10,ReRotation,2.0,52
23.77691584,10,ReRotation,2.0,52
21.96225873,10,ReRotation,2.0,52
6.55273796,10,ReRotation,3.0,53
17.50749466,10,ReRotation,3.0,53
36.71743075,10,ReRotation,3.0,53
14.31156759,10,ReRotation,3.0,53
5.908466353,10,ReRotation,3.0,53
24.55824982,10,ReRotation,3.0,53
26.7739637,10,ReRotation,4.0,54
25.98268431,10,ReRotation,4.0,54
19.55182201,10,ReRotation,4.0,54
22.54190332,10,ReRotation,4.0,54
0.850569523,10,ReRotation,4.0,54
3.565291475,10,ReRotation,4.0,54
22.37189146,10,ReRotation,5.0,55
4.548277459,10,ReRotation,5.0,55
6.31399102,10,ReRotation,5.0,55
22.46236021,10,ReRotation,5.0,55
16.97273539,10,ReRotation,5.0,55
3.773986635,10,ReRotation,5.0,55
7.303502622,10,ReRotation,6.0,56
4.480998613,10,ReRotation,6.0,56
14.23157464,10,ReRotation,6.0,56
33.86140539,10,ReRotation,6.0,56
27.23442243,10,ReRotation,6.0,56
2.455119521,10,ReRotation,6.0,56
-36.31287924,10,ReRotation,7.0,57
-1.944696151,10,ReRotation,7.0,57
-0.627158196,10,ReRotation,7.0,57
-13.13222211,10,ReRotation,7.0,57
-17.21727525,10,ReRotation,7.0,57
-2.718180978,10,ReRotation,7.0,57
14.11470174,10,ReRotation,8.0,58
-0.758021545,10,ReRotation,8.0,58
30.62086551,10,ReRotation,8.0,58
-6.601831206,10,ReRotation,8.0,58
8.992852152,10,ReRotation,8.0,58
10.01715614,10,ReRotation,8.0,58
4.655336858,10,ReRotation,9.0,59
28.71939063,10,ReRotation,9.0,59
10.10534011,10,ReRotation,9.0,59
2.394892962,10,ReRotation,9.0,59
-8.239526558,10,ReRotation,9.0,59
-4.795287351,10,ReRotation,9.0,59
19.3528859,10,ReRotation,10.0,60
